DAY	STATUS	COUNT
1	0	2
2	0	88
3	0	0
4	0	0
5	0	91
6	0	0
7	0	82
8	0	0
9	0	0
10	0	0
11	0	0
1	0	27
2	0	44
3	0	35
4	0	102
5	0	0
6	0	19
7	0	32
8	0	0
9	0	20
10	0	0
11	0	0
1	0	38
2	0	25
3	0	36
4	0	75
5	0	0
6	0	29
7	0	29
8	0	15
9	0	0
10	0	0
11	0	0
1	0	37
2	0	0
3	0	21
4	0	33
5	0	24
6	0	32
7	0	27
8	0	28
9	0	0
10	0	0
11	0	0
1	0	32
2	0	27
3	0	39
4	0	29
5	0	26
6	0	51
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	29
2	0	45
3	0	42
4	0	52
5	0	33
6	0	61
7	0	25
8	0	6
9	0	21
10	0	34
11	0	19
1	0	45
2	0	49
3	0	72
4	0	72
5	0	38
6	0	75
7	0	46
8	0	34
9	0	24
10	0	0
11	0	0
1	0	27
2	0	47
3	0	81
4	0	74
5	0	34
6	0	25
7	0	23
8	0	22
9	0	22
10	0	25
11	0	0
1	0	35
2	0	63
3	0	30
4	0	24
5	0	25
6	0	30
7	0	23
8	0	23
9	0	25
10	0	0
11	0	0
1	0	22
2	0	27
3	0	18
4	0	30
5	0	58
6	0	36
7	0	35
8	0	43
9	0	0
10	0	0
11	0	0
1	0	14
2	0	18
3	0	30
4	0	25
5	0	20
6	0	34
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	33
2	0	41
3	0	42
4	0	37
5	0	31
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	49
2	0	62
3	0	26
4	0	0
5	0	26
6	0	19
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	0
2	0	0
3	0	5
4	0	0
5	0	73
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	33
2	0	31
3	0	28
4	0	22
5	0	118
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	38
2	0	27
3	0	36
4	0	25
5	0	103
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	26
2	0	21
3	0	25
4	0	0
5	0	17
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	0	38
2	0	20
3	0	31
4	0	42
5	0	75
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
1	1	14
2	1	40
3	1	29
4	1	0
5	1	0
6	1	28
7	1	10
8	1	0
9	1	0
10	1	0
1	1	73
2	1	0
3	1	38
4	1	28
5	1	0
6	1	68
7	1	0
8	1	0
9	1	0
10	1	0
1	1	29
2	1	0
3	1	19
4	1	0
5	1	37
6	1	0
7	1	0
8	1	30
9	1	19
10	1	56
1	1	51
2	1	40
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	28
2	1	44
3	1	0
4	1	17
5	1	0
6	1	19
7	1	0
8	1	0
9	1	0
10	1	0
1	1	55
2	1	13
3	1	7
4	1	8
5	1	24
6	1	27
7	1	0
8	1	0
9	1	0
10	1	0
1	1	68
2	1	0
3	1	0
4	1	0
5	1	63
6	1	67
7	1	0
8	1	0
9	1	0
10	1	0
1	1	14
2	1	26
3	1	13
4	1	0
5	1	15
6	1	17
7	1	0
8	1	0
9	1	0
10	1	0
1	1	63
2	1	40
3	1	17
4	1	35
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	41
2	1	45
3	1	18
4	1	0
5	1	61
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	54
2	1	20
3	1	18
4	1	27
5	1	30
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	20
2	1	28
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	40
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	88
2	1	13
3	1	15
4	1	34
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	110
2	1	24
3	1	18
4	1	33
5	1	20
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	112
2	1	14
3	1	35
4	1	16
5	1	39
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	42
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	59
2	1	24
3	1	0
4	1	42
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	0
2	1	0
3	1	0
4	1	27
5	1	1
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	18
2	1	0
3	1	32
4	1	33
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	22
2	1	27
3	1	36
4	1	31
5	1	14
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	64
2	1	42
3	1	28
4	1	0
5	1	35
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
1	1	63
2	1	22
3	1	25
4	1	30
5	1	10
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
